-27, -1108, -65
-345, -311, 381
-36, -1284, 1171
-413, -627, 1469
-430, -3130, 366
-447, -329, 318
-456, -621, 1527
-470, -3283, 303
-485, -357, 347
-499, -1607, -770
-518, -1681, -600
-532, -1715, 1894
-537, -823, -458
-584, 868, -557
-601, -1648, -643
-612, -1695, 1788
-618, -824, -621
-620, -3212, 371
-624, -1620, 1868
-631, -672, 1502
-635, -1737, 486
-654, -3158, -753
-661, -816, -575
-687, -1600, 576
-689, 845, -530
-697, -3072, -689
-706, -3180, -659
-739, -1745, 668
-789, 900, -551
-838, 591, 734
-876, 649, 763
-892, 524, 684
12, -2351, -103
26, -1119, 1091
346, -2985, 342
366, -3059, 397
377, -2827, 367
390, -675, -793
396, -1931, -563
404, -588, -901
408, -1815, 803
423, -701, 434
432, -2009, 850
443, 580, 662
455, 729, 728
456, -540, 1869
459, -707, 401
465, -695, 1988
474, 580, 667
496, -1584, 1900
497, -1838, -617
527, -524, 1933
528, -643, 409
534, -1912, 768
544, -627, -890
553, 345, -567
564, 392, -477
568, -2007, -577
605, -1665, 1952
612, -1593, 1893
630, 319, -379
686, -3108, -505
7, -33, -71
776, -3184, -501
846, -3110, -434
